iter	Logloss
0	0.6820056163
1	0.6730102824
2	0.6643925707
3	0.6571962688
4	0.65121852
5	0.6462791421
6	0.6413136995
7	0.6376974277
8	0.6340536966
9	0.6310496841
10	0.6281432791
11	0.6247193234
12	0.622255038
13	0.6195267795
14	0.6174239799
15	0.6156661633
16	0.6135047673
17	0.6110392866
18	0.6092614464
19	0.6074706465
20	0.6057185764
21	0.60394265
22	0.6025772735
23	0.6013866732
24	0.6007436919
25	0.5994063438
26	0.5985419532
27	0.5973408407
28	0.595966238
29	0.5951422973
30	0.5942427679
31	0.5931219978
32	0.5924449294
33	0.5915708659
34	0.5908867603
35	0.5902757893
36	0.5893636078
37	0.5885452856
38	0.5880343713
39	0.5870566653
40	0.5864099986
41	0.5855580348
42	0.5847505811
43	0.5838312907
44	0.5831268573
45	0.5825296079
46	0.5819956428
47	0.5810876496
48	0.5805753121
49	0.5799977901
50	0.5791457906
51	0.5784884352
52	0.5781702854
53	0.5776514826
54	0.5768542991
55	0.5764372753
56	0.5758255195
57	0.575291579
58	0.5743858571
59	0.573838776
60	0.5732927458
61	0.5728421694
62	0.5722626033
63	0.5718826342
64	0.5712424725
65	0.5706567335
66	0.5704126236
67	0.5699942733
68	0.5696598759
69	0.5692543762
70	0.5684580838
71	0.5679469717
72	0.5677164724
73	0.5672451001
74	0.5665905891
75	0.5658414112
76	0.5651332656
77	0.5646823852
78	0.5642017345
79	0.5635986055
80	0.5631005024
81	0.5622653953
82	0.561995162
83	0.5616581891
84	0.5609558201
85	0.5602177096
86	0.5595851916
87	0.5588433073
88	0.5580174771
89	0.5572916226
90	0.5567912407
91	0.5561119506
92	0.5555286586
93	0.5548432762
94	0.5541769295
95	0.553308492
96	0.5526757747
97	0.5519725354
98	0.5513887027
99	0.5505888907
100	0.5499938367
101	0.5493399903
102	0.5484998875
103	0.5478186409
104	0.5471488075
105	0.5464656917
106	0.5459656077
107	0.5453512194
108	0.5445121742
109	0.5439582647
110	0.5433229515
111	0.5428719799
112	0.5422351924
113	0.541523974
114	0.5406904989
115	0.5400920245
116	0.5391006152
117	0.538475432
118	0.5379754388
119	0.537132045
120	0.5365800047
121	0.5362137352
122	0.53561969
123	0.5349725251
124	0.5341274194
125	0.5331130707
126	0.5328785496
127	0.5323159256
128	0.531739422
129	0.5309866996
130	0.5300345633
131	0.5296917074
132	0.5290215135
133	0.5282781275
134	0.5278515226
135	0.5271183266
136	0.5264929453
137	0.5259827105
138	0.5255063485
139	0.5250559481
140	0.5244784408
141	0.5240762485
142	0.5234873226
143	0.5228264338
144	0.5219955294
145	0.5213943722
146	0.5210344507
147	0.5206952018
148	0.5201490433
149	0.5195750874
150	0.5190645075
151	0.5184512915
152	0.5180494043
153	0.5174300531
154	0.5167229297
155	0.5162214903
156	0.5156584399
157	0.5148441094
158	0.514497294
159	0.5139776101
160	0.5135339356
161	0.5130243503
162	0.5125841205
163	0.5117560021
164	0.5111779939
165	0.5106462938
166	0.5098776271
167	0.5093625361
168	0.5087810966
169	0.5084611707
170	0.5078687218
171	0.5073100792
172	0.5068444201
173	0.5064298817
174	0.5061605468
175	0.5057990984
176	0.505315259
177	0.5049764542
178	0.5046470548
179	0.504085616
180	0.5033521336
181	0.5030836216
182	0.5026309926
183	0.5021110853
184	0.5017303066
185	0.5013169451
186	0.5007321559
187	0.5002103648
188	0.4999926296
189	0.4994446211
190	0.4988642075
191	0.4985312715
192	0.4980663827
193	0.4976794807
194	0.4973634466
195	0.4969164832
196	0.4966525687
197	0.4961513285
198	0.4956776915
199	0.4951100077
200	0.4945956422
201	0.4943087449
202	0.4938429106
203	0.4932372233
204	0.4927944909
205	0.4923725639
206	0.4917403285
207	0.4910448435
208	0.4905790229
209	0.4903628553
210	0.489878748
211	0.4894467923
212	0.489278853
213	0.4886360745
214	0.4881743678
215	0.4876512349
216	0.4873177388
217	0.486687692
218	0.4862224518
219	0.4855801344
220	0.4851392727
221	0.4848336606
222	0.4845953903
223	0.4841684264
224	0.4837788424
225	0.4831761177
226	0.4825592765
227	0.4822430751
228	0.4817914001
229	0.4813055366
230	0.4807636838
231	0.48048539
232	0.4801171257
233	0.4796429062
234	0.4792960663
235	0.4788942852
236	0.4784402486
237	0.4780101815
238	0.4774372723
239	0.4770715743
240	0.4765499008
241	0.4759833766
242	0.4755092323
243	0.4752774293
244	0.4748642537
245	0.4743132887
246	0.4739618515
247	0.4735619205
248	0.4730903054
249	0.472798826
250	0.4722356355
251	0.4717961193
252	0.4715546472
253	0.4710028428
254	0.4705703486
255	0.470206157
256	0.4699952627
257	0.4696179193
258	0.4692190668
259	0.468807889
260	0.4683616068
261	0.4681100837
262	0.4677054918
263	0.4671391986
264	0.4666661604
265	0.4661525646
266	0.4658183736
267	0.4655486993
268	0.4652006106
269	0.4646947387
270	0.4645614272
271	0.4638933377
272	0.4634982078
273	0.4631506727
274	0.4626329624
275	0.4623022292
276	0.4614724277
277	0.4611003339
278	0.4606724166
279	0.4602645507
280	0.4597498967
281	0.4593924063
282	0.4590796618
283	0.4585721556
284	0.4583834342
285	0.4580099695
286	0.4576270693
287	0.4573610911
288	0.4569562064
289	0.4566136752
290	0.4562634192
291	0.4560093225
292	0.4557788016
293	0.455517769
294	0.4553971136
295	0.45493181
296	0.4546285941
297	0.4539910971
298	0.4535135974
299	0.4531574157
