iter	Passed	Remaining
0	151	45446
1	166	24874
2	176	17453
3	187	13846
4	195	11554
5	206	10121
6	215	9035
7	224	8198
8	233	7553
9	241	7014
10	254	6689
11	263	6333
12	273	6027
13	282	5769
14	291	5536
15	300	5331
16	310	5160
17	319	4998
18	329	4870
19	338	4739
20	347	4616
21	356	4508
22	365	4405
23	375	4312
24	384	4233
25	393	4150
26	408	4135
27	426	4140
28	443	4143
29	453	4085
30	462	4016
31	471	3951
32	480	3891
33	489	3829
34	498	3775
35	506	3716
36	516	3669
37	524	3619
38	533	3572
39	544	3542
40	555	3508
41	569	3498
42	579	3463
43	588	3426
44	598	3388
45	608	3360
46	620	3342
47	629	3306
48	639	3274
49	648	3242
50	657	3208
51	666	3178
52	674	3145
53	684	3120
54	693	3090
55	702	3062
56	712	3036
57	720	3007
58	730	2982
59	739	2956
60	749	2936
61	758	2910
62	767	2888
63	777	2866
64	785	2841
65	799	2835
66	809	2814
67	818	2792
68	828	2772
69	838	2754
70	847	2731
71	857	2716
72	866	2695
73	875	2674
74	884	2653
75	893	2633
76	903	2616
77	912	2595
78	920	2575
79	933	2566
80	945	2555
81	956	2542
82	966	2527
83	977	2512
84	988	2499
85	997	2480
86	1006	2464
87	1015	2447
88	1030	2444
89	1047	2444
90	1075	2470
91	1092	2469
92	1109	2469
93	1148	2517
94	1165	2513
95	1178	2504
96	1188	2487
97	1200	2473
98	1209	2455
99	1217	2435
100	1226	2416
101	1235	2397
102	1246	2384
103	1256	2367
104	1266	2352
105	1275	2333
106	1284	2316
107	1292	2298
108	1302	2282
109	1310	2264
110	1320	2247
111	1330	2232
112	1339	2216
113	1349	2202
114	1358	2185
115	1372	2177
116	1381	2160
117	1390	2145
118	1399	2128
119	1415	2122
120	1427	2112
121	1439	2099
122	1447	2083
123	1459	2072
124	1470	2058
125	1479	2043
126	1490	2030
127	1501	2017
128	1513	2005
129	1524	1994
130	1535	1980
131	1545	1966
132	1557	1956
133	1567	1942
134	1577	1928
135	1586	1912
136	1599	1903
137	1609	1888
138	1617	1873
139	1626	1859
140	1635	1844
141	1644	1830
142	1654	1816
143	1663	1802
144	1673	1789
145	1682	1774
146	1691	1760
147	1701	1747
148	1710	1733
149	1720	1720
150	1729	1706
151	1739	1693
152	1749	1680
153	1759	1668
154	1770	1655
155	1782	1645
156	1794	1634
157	1806	1623
158	1819	1613
159	1831	1602
160	1843	1591
161	1852	1577
162	1861	1564
163	1871	1551
164	1879	1538
165	1889	1525
166	1898	1512
167	1909	1500
168	1920	1488
169	1929	1475
170	1938	1462
171	1947	1449
172	1956	1436
173	1969	1425
174	1978	1413
175	1994	1405
176	2003	1392
177	2012	1379
178	2020	1366
179	2036	1357
180	2046	1345
181	2058	1334
182	2067	1321
183	2076	1309
184	2086	1296
185	2095	1284
186	2105	1272
187	2114	1259
188	2126	1249
189	2136	1237
190	2145	1224
191	2155	1212
192	2163	1199
193	2173	1187
194	2182	1175
195	2192	1163
196	2202	1151
197	2211	1139
198	2225	1129
199	2237	1118
200	2247	1106
201	2255	1094
202	2264	1082
203	2273	1069
204	2282	1057
205	2292	1045
206	2301	1033
207	2311	1022
208	2320	1010
209	2333	1000
210	2343	988
211	2352	976
212	2361	964
213	2372	953
214	2384	942
215	2400	933
216	2411	922
217	2422	911
218	2431	899
219	2439	887
220	2448	875
221	2457	863
222	2467	851
223	2477	840
224	2485	828
225	2498	817
226	2509	806
227	2526	797
228	2537	786
229	2547	775
230	2557	763
231	2565	752
232	2575	740
233	2584	728
234	2593	717
235	2602	705
236	2611	694
237	2620	682
238	2630	671
239	2640	660
240	2649	648
241	2658	637
242	2668	625
243	2676	614
244	2685	602
245	2694	591
246	2705	580
247	2716	569
248	2728	558
249	2739	547
250	2748	536
251	2759	525
252	2769	514
253	2779	503
254	2790	492
255	2799	481
256	2809	470
257	2818	458
258	2827	447
259	2837	436
260	2846	425
261	2855	414
262	2864	403
263	2873	391
264	2882	380
265	2891	369
266	2903	358
267	2912	347
268	2921	336
269	2930	325
270	2939	314
271	2948	303
272	2958	292
273	2967	281
274	2976	270
275	2985	259
276	2996	248
277	3009	238
278	3024	227
279	3035	216
280	3044	205
281	3056	195
282	3065	184
283	3074	173
284	3083	162
285	3092	151
286	3101	140
287	3111	129
288	3120	118
289	3129	107
290	3138	97
291	3148	86
292	3157	75
293	3170	64
294	3179	53
295	3188	43
296	3197	32
297	3206	21
298	3215	10
299	3225	0
